那	nǎ<div>that</div>	B1-L2-Family B1-L4-Hobbies
办	bàn<div>to handle, to do</div>	B2-L11-Weather
那么	nàme<div>- (indicating degree) so, such [e.g., nàme 多]</div>	B2-L11-Weather
好玩（儿）	hǎowán(r)<div>fun, amusing, interesting</div>	B2-L11-Weather
非常	fēicháng<div>very，extremely，exceedingly</div>	B2-L11-Weather
糟糕	zāogāo<div>in a terrible mess, how terrible</div>	B2-L11-Weather
下雨	xiàyǔ<div>to rain</div>	B2-L11-Weather
又	yòu<div>again (indicating recurrence of some action, e.g., 昨天我打球，今天我又去打球)</div>	B2-L11-Weather
面试	miànshì<div>to interview; an interview</div>	B2-L11-Weather
回去	huíqu<div>to go back, to return</div>	B2-L11-Weather
冬天	dōngtiān<div>winter</div>	B2-L11-Weather
夏天	xiàtiān<div>summer</div>	B2-L11-Weather
热	rè<div>hot (e.g., hot weather)</div>	B2-L11-Weather
春天	chūntiān<div>spring (the season)</div>	B2-L11-Weather
秋天	qiūtiān<div>fall, autumn (the season)</div>	B2-L11-Weather
舒服	shūfu<div>comfortable</div>	B2-L11-Weather
加州	Jiāzhōu<div>California</div>	B2-L11-Weather
饭馆	fànguǎn<div>restaurant</div>	B2-L12-Dining
好像	hǎoxiàng<div>to seem, to be like</div>	B2-L12-Dining
位子	wèizi<div>seat</div>	B2-L12-Dining
服务员	fúwùyuán<div>waiter, attendant</div>	B2-L12-Dining
服务	fúwù<div>to serüe, to provide service</div>	B2-L12-Dining
桌子	zhuōzi<div>table</div>	B2-L12-Dining
点菜	diǎncài<div>to order food</div>	B2-L12-Dining
盘	pán<div>plate, dish</div>	B2-L12-Dining
饺子	jiǎozi<div>dumplings (with vegetable or meat filling)</div>	B2-L12-Dining
素	"sù<div>vegetarian (literally translation is ""plain"")</div>"	B2-L12-Dining
家常	jiācháng<div>home-style</div>	B2-L12-Dining
豆腐	dòufu<div>tofu, bean curd</div>	B2-L12-Dining
放	fàng<div>- to put, to place</div><div>- to let go, to set free</div>	B2-L12-Dining B2-L19-Travel
肉	ròu<div>meat</div>	B2-L12-Dining
碗	wǎn<div>bowl</div>	B2-L12-Dining
酸辣汤	suānlàtāng<div>hot-and-sour soup</div>	B2-L12-Dining
酸	suān<div>sour</div>	B2-L12-Dining
辣	là<div>spicy</div>	B2-L12-Dining
汤	tāng<div>soup</div>	B2-L12-Dining
味精	wèijīng<div>monosodium glutamate (MSG)</div>	B2-L12-Dining
盐	yán<div>salt</div>	B2-L12-Dining
小白菜	xiǎobáicài<div>baby bok choy</div>	B2-L12-Dining
刚	gāng<div>just</div>	B2-L12-Dining
卖完	màiwán<div>to be sold out</div>	B2-L12-Dining
完	wán<div>finished (e.g., 卖wán)</div>	B2-L12-Dining
青菜	qīngcài<div>green, leafy vegetable</div>	B2-L12-Dining
冰茶	bīngchá<div>iced tea</div>	B2-L12-Dining
冰	bīng<div>ice</div>	B2-L12-Dining
渴	kě<div>thirsty</div>	B2-L12-Dining
些	xiē<div>- some, measure word for indefinite amount</div>	B2-L12-Dining
够	gòu<div>enough</div>	B2-L12-Dining
哦	<div>é</div><div>to chant</div>	B2-L12-Dining
上菜	shàngcài<div>to serve food</div>	B2-L12-Dining
师傅	shīfu<div>master worker</div>	B2-L12-Dining
好吃	hǎochī<div>delicious</div>	B2-L12-Dining
糖醋鱼	tángcùyú<div>sweet-and-sour fish</div>	B2-L12-Dining
糖	<div>táng</div>sugar	B2-L12-Dining
醋	cù<div>vinegar</div>	B2-L12-Dining
甜	tián<div>sweet</div>	B2-L12-Dining
级	jí<div>extremely</div>	B2-L12-Dining
红烧	hóngshāo<div>to braise in soy sauce</div>	B2-L12-Dining
牛肉	niúròu<div>beef</div>	B2-L12-Dining
牛	niú<div>cow, ox</div>	B2-L12-Dining
鱼	yú<div>fish</div>	B2-L12-Dining
凉拌	"liángbàn<div>(of food) cold ""blended"", cold tossed</div>"	B2-L12-Dining
黄瓜	huánggua<div>cucumber</div>	B2-L12-Dining
米饭	mǐfàn<div>cooked rice</div>	B2-L12-Dining
忘	wàng<div>to forget</div>	B2-L12-Dining
带	dài<div>to bring, to take, to carry, to come with</div>	B2-L12-Dining
饭卡	fànkǎ<div>meal card</div>	B2-L12-Dining
清楚	qīngchu<div>clear</div>	B2-L12-Dining
没关系	méiguānxi<div>it doesn't matter</div>	B2-L12-Dining
上海	Shànghǎi<div>Shanghai</div>	B2-L12-Dining
关系	guānxi<div>relation, relationship, to concern, to affect, to have to do with</div>	B2-L12-Dining
份	fèn<div>- one order of (e.g., food. 来一fèn饺子, 两份samosa</div>	B2-L12-Dining B2-L19-Travel
咸	xián<div>salty</div>	B2-L12-Dining
筷子	kuàizi<div>chopsticks</div>	B2-L12-Dining
叉子	chāzi<div>fork</div>	B2-L12-Dining
杯子	bēizi<div>cup</div>	B2-L12-Dining
勺子	shāozi<div>spoon</div>	B2-L12-Dining
刀子	dāozi<div>knife</div>	B2-L12-Dining
书桌	shūzhuō<div>desk</div>	B2-L12-Dining B2-L17-Renting-An-Apartment
饭桌	fànzhuō<div>dining table</div>	B2-L12-Dining B2-L17-Renting-An-Apartment
菜刀	càidāo<div>kitchen knife</div>	B2-L12-Dining
茶馆	cháguǎn<div>tea house</div>	B2-L12-Dining
酸雨	suānyǔ<div>acid rain</div>	B2-L12-Dining
凉鞋	liángxié<div>sandals</div>	B2-L12-Dining
水牛	shuǐniú<div>buffalo</div>	B2-L12-Dining
饿	è<div>hungry</div>	B2-L12-Dining
辣椒	làjiāo<div>chili pepper</div>	B2-L12-Dining
层	céng<div>layer (e.g., layer of food, layer of stadium, floor of building)</div>	B2-L12-Dining
土豆	tǔdòu<div>potato</div>	B2-L12-Dining
街(道)	jiē(dào)<div>street</div>	B2-L12-Dining
报告	bàogào<div>report, speech, talk (e.g., presentation)</div>	Encountered
声调	shēngdiào<div>tone (e.g., tone of words in&nbsp; tonal language)</div>	Encountered
误	wù<div>mistake, error, to miss, to harm, to delay, mistakenly</div>	Encountered
流利	liúlì<div>fluent (e.g., speaking fluently)</div>	Encountered
设定	shèdìng<div>to set, to set up, to install, setting, preferences</div>	Encountered
被	bèi<div>quilt, by, to cover, (indicate passive-voice clause), to meet with</div><div><br></div><div>e.g., 你的PPT也设定得很好，让你想说的话更容易 bèi 别人了解。</div>	B2-L18-Sports Encountered
了解	liǎojiě<div>to understand, to realize, to find out</div>	Encountered
内容	nèiróng<div>content, substance, details</div><div><br></div><div>虽然你的报告有点儿短，可是 nèiróng 很好<br></div>	Encountered
期中	qīzhōng<div>among, in, included among these, interim</div><div><br></div><div>你的 qīzhōng 报告<br></div>	Encountered
上	shàng<div>- to go (colloq.)</div>	B2-L13-Asking-Directions
中心	zhōngxīn<div>center</div>	B2-L13-Asking-Directions
听说	tīngshuō<div>to be told, to hear of</div>	B2-L13-Asking-Directions
运动	yùndòng<div>sports</div>	B2-L13-Asking-Directions
场	chǎng<div>field (e.g., sports field)</div>	B2-L13-Asking-Directions
旁边	pángbiān<div>side (this side, that side, etc.)</div>	B2-L13-Asking-Directions
远	yuǎn<div>far</div>	B2-L13-Asking-Directions
离	lí<div>away from</div>	B2-L13-Asking-Directions
活动	huódòng<div>actiüity</div>	B2-L13-Asking-Directions
中间	zhōngjiān<div>middle</div>	B2-L13-Asking-Directions
书店	shūdiàn<div>bookstore</div>	B2-L13-Asking-Directions
地方	dìfang<div>place</div>	B2-L13-Asking-Directions
里边	lǐbian<div>inside</div>	B2-L13-Asking-Directions
中国城	Zhōngguóchéng<div>Chinatown</div>	B2-L13-Asking-Directions
城	chéng<div>town, city</div>	B2-L13-Asking-Directions
过	guo<div>- (post-verb particle to indicate&nbsp; past experience, e.g. 去guo）</div><div>- to cross</div><div><br></div><div>guò</div><div>to live (a life), to observe (a holiday), to celebrate (a festival), to pass</div>	B2-L13-Asking-Directions B2-L14-Birthday-Party
地图	dìtú<div>map</div>	B2-L13-Asking-Directions
拿	ná<div>to take, to get</div>	B2-L13-Asking-Directions
次	cì<div>(measure word for frequency)</div><div>e.g., 第一 cì</div>	B2-L13-Asking-Directions
从	cóng<div>from</div>	B2-L13-Asking-Directions
一直	yìzhí<div>straight, continuously (adü.)</div>	B2-L13-Asking-Directions
往	wǎng<div>towards (preposition)</div>	B2-L13-Asking-Directions
南	nán<div>south (direction)</div>	B2-L13-Asking-Directions
路口	lùkǒu<div>intersection (of streets or roads or routes, etc.)</div>	B2-L13-Asking-Directions
西	xī<div>west (direction)</div>	B2-L13-Asking-Directions
拐	guǎi<div>to turn</div>	B2-L13-Asking-Directions
哎	āi<div>(exclamatory particle indicating surprise or dissatisfaction)</div>	B2-L13-Asking-Directions
东	dōng<div>east (direction)</div>	B2-L13-Asking-Directions
北	běi<div>north (direction)</div>	B2-L13-Asking-Directions
前	qián<div>forward, ahead</div>	B2-L13-Asking-Directions
红绿灯	hónglǜdēng<div>traffic light</div>	B2-L13-Asking-Directions
灯	dēng<div>light (noun)</div>	B2-L13-Asking-Directions
右	yòu<div>right (side, to the right)</div>	B2-L13-Asking-Directions
左	zuǒ<div>left (side, to the left)</div>	B2-L13-Asking-Directions
前面	qiánmiàn<div>ahead, in front of</div>	B2-L13-Asking-Directions
谷歌	Gǔgē<div>Google</div>	B2-L13-Asking-Directions
东京	Dōngjīng<div>Tokyo</div>	B2-L13-Asking-Directions
运动中心	yùndòngzhōngxīn<div>sports center</div>	B2-L13-Asking-Directions
车床	chēchuáng<div>lathe (noun)</div>	Encountered
舞会	wǔhuì<div>dance party, ball</div>	B2-L14-Birthday-Party
表姐	biǎojiě<div>older female cousin</div>	B2-L14-Birthday-Party
中学	zhōngxué<div>middle school, secondary school</div>	B2-L14-Birthday-Party
礼物	lǐwù<div>gift</div>	B2-L14-Birthday-Party
本	běn<div>(measure word for books)</div>	B2-L14-Birthday-Party
饮料	yǐnliào<div>beverage</div>	B2-L14-Birthday-Party
水果	shuǐguǒ<div>fruit</div>	B2-L14-Birthday-Party
把	bǎ<div>- (measure word for things with handle or handfuls of things)</div><div>- (indicating disposition, arrangement, or settlement of something) [preposition]</div>	B2-L14-Birthday-Party B2-L15-Seeing-A-Doctor
爱	ài<div>to love; to like; to be fond of</div>	B2-L14-Birthday-Party
苹果	píngguǒ<div>apple</div>	B2-L14-Birthday-Party
梨	lí<div>pear (noun; a type fruit)</div>	B2-L14-Birthday-Party
西瓜	xīgua<div>watermelon</div>	B2-L14-Birthday-Party
住	zhù<div>to live (in a certain place)</div>	B2-L14-Birthday-Party
重	zhòng<div>heavy, serious (adjective)</div>	B2-L14-Birthday-Party
接	jiē<div>to catch, to meet, to welcome, to pick up (someone)</div>	B2-L14-Birthday-Party
楼	lóu<div>multi-story building, floor of a multi-level building</div>	B2-L14-Birthday-Party
钟头	zhōngtóu<div>hour (noun)</div>	B2-L14-Birthday-Party
以为	yǐwéi<div>to assume erroneously</div>	B2-L14-Birthday-Party
聪明	cōngming<div>smart, bright, clever</div>	B2-L14-Birthday-Party
用功	yònggōng<div>hardworking, diligent, studious</div>	B2-L14-Birthday-Party
暑期	shǔqī<div>summer term (noun, e.g., for summer classes)</div>	B2-L14-Birthday-Party
班	bān<div>class (noun)</div>	B2-L14-Birthday-Party
可爱	kě'ài<div>cute, lovable (adjective)</div>	B2-L14-Birthday-Party
去年	qùnián<div>last year</div>	B2-L14-Birthday-Party
属	shǔ<div>to belong to</div>	B2-L14-Birthday-Party
狗	gǒu<div>dog (noun, type of animal)</div>	B2-L14-Birthday-Party
脸	liǎn<div>face (noun)</div>	B2-L14-Birthday-Party
圆	yuán<div>round (adjective)</div>	B2-L14-Birthday-Party
眼睛	yǎnjing<div>eye (noun, body part)</div>	B2-L14-Birthday-Party
鼻子	bízi<div>nose (noun, body part)</div>	B2-L14-Birthday-Party
嘴	zuǐ<div>mouth (noun, body part)</div>	B2-L14-Birthday-Party
像	xiàng<div>to be like, to look like, to take after</div>	B2-L14-Birthday-Party
长大	zhǎngdà<div>to grow up</div>	B2-L14-Birthday-Party
一定	yídìng<div>- certain, definite (adj)</div><div>- certainly, definitely (adv)</div>	B2-L14-Birthday-Party
蛋糕	dàngāo<div>cake (noun, dessert)</div>	B2-L14-Birthday-Party
海伦	Hǎilún<div>Helen</div>	B2-L14-Birthday-Party
汤姆	Tāngmǔ<div>Tom</div>	B2-L14-Birthday-Party
王红	Wáng Hóng<div>- (personal name for someone in the lesson)</div>	B2-L14-Birthday-Party
扑克	pūkè<div>poker</div>	Encountered
<div><div><div><div><div>又菜又爱玩</div></div></div></div></div>	yòucàiyòuàiwān<div>(slang) you're not good at playing (e.g., game), but you love playing anyway</div>	Encountered
幽默	yōumò<div>humor, humorous</div>	Encountered
儿化音	érhuāyīn<div>Speaking style of Beijing where they put an 'r' sound at the end of many words</div>	Encountered
鼓	gǔ<div>drum, to drum, to strike, to rouse, to bulge, to swell</div>	Encountered
成语	chéngyǔ<div>idiom, proüerb, saying</div>	Encountered
伙伴	huǒbàn<div>partner, companion, comrade</div>	Encountered
万圣节	wànshèngjié<div>Halloween</div>	B2-L14-Birthday-Party
感恩节	gǎn'ēnjié<div>Thanksgiving</div>	B2-L14-Birthday-Party
圣诞节	shèngdànjié<div>Christmas</div>	B2-L14-Birthday-Party
开演唱会	kāiyǎnchànghuì<div>have a pop music concert</div>	B2-L14-Birthday-Party
开派对	kāipàiduì<div>have a party</div>	B2-L14-Birthday-Party
表兄弟姐妹	biǎoxiōngdìjiěmèi<div>cousins with different family name</div>	B2-L14-Birthday-Party
排灯节	Páidēngjié<div>Diwali</div>	B2-L14-Birthday-Party
眉毛	méimáo<div>eyebrow</div>	B2-L14-Birthday-Party
方	fāng<div>square-shaped</div>	B2-L14-Birthday-Party
马马虎虎	mǎmahūhū<div>careless, casual, vague, not-so-bad, so-so, tolerable, fair</div><div><br></div><div>*from mdbg.net</div>	B2-L14-Birthday-Party
鼠	shǔ<div>mouse</div>	B2-L14-Birthday-Party
虎	hǔ<div>tiger</div>	B2-L14-Birthday-Party
兔	tù<div>rabbit</div>	B2-L14-Birthday-Party
龙	lóng<div>dragon</div>	B2-L14-Birthday-Party
蛇	shé<div>snake</div>	B2-L14-Birthday-Party
马	mǎ<div>horse</div>	B2-L14-Birthday-Party
羊	yáng<div>goat</div>	B2-L14-Birthday-Party
猴	hóu<div>monkey</div>	B2-L14-Birthday-Party
鸡	jī<div>fowl, chicken</div>	B2-L14-Birthday-Party
猪	zhū<div>pig (animal)</div>	B2-L14-Birthday-Party
芒果	mángguǒ<div>mango</div>	B2-L14-Birthday-Party
香蕉	xiāngjiāo<div>banana</div>	B2-L14-Birthday-Party
菠萝	bōluó<div>pineapple</div>	B2-L14-Birthday-Party
葡萄	pútao<div>grape (a fruit, but not grapefruit)</div>	B2-L14-Birthday-Party
干净	gānjìng<div>clean，neat （adj）</div>	B2-L14-Birthday-Party B2-L17-Renting-An-Apartment
整肃	zhěngsù<div>strict&nbsp;/&nbsp;serious&nbsp;/&nbsp;solemn&nbsp;/&nbsp;dignified&nbsp;/&nbsp;to tidy up&nbsp;/&nbsp;to clean up&nbsp;/&nbsp;to purge&nbsp;/&nbsp;to adjust<br></div><div><br></div><div>*mdbg.net</div>	B2-L14-Birthday-Party
脏	<div>zāng<br></div>dirty, filthy (e.g., room is dirty)<div><br></div><div>*mdbg.net</div>	B2-L14-Birthday-Party
山莓	shānméi<div>raspberry</div>	B2-L14-Birthday-Party
烂	làn<div>- to rot or decompose</div><div>- rotten, messy, soft, mushy</div>	B2-L14-Birthday-Party
橙子	chéngzi<div>orange (the fruit)</div>	B2-L14-Birthday-Party
橙	chéng<div>orange tree, orange color</div>	B2-L14-Birthday-Party
橙汁	chéngzhī<div>orange juice</div>	B2-L14-Birthday-Party
曾祖父	zēngzǔfù<div>paternal great grandfather</div>	B2-L14-Birthday-Party
曾外祖父	zēngwàizǔfù<div>maternal great grandfather</div>	B2-L14-Birthday-Party
曾祖母	zēngzǔmǔ<div>paternal great grandmother</div>	B2-L14-Birthday-Party
曾外祖母	zēngwàizǔmǔ<div>maternal great grandmother</div>	B2-L14-Birthday-Party
大选	dàxuǎn<div>general election</div>	Encountered
选择	xuǎnzé<div>- to select or pick,&nbsp;</div><div>- choice, option</div>	Encountered
超过<br>	chāoguò<div>to surpass or exceed</div>	Encountered
选票	xuǎnpiào<div>vote, ballot</div>	Encountered
段子	duànzi<div>- folk art item of storytelling / performed dialogue, a sketch</div><div>- short joke</div>	Encountered
<div><div><div><div><div>例子</div></div></div></div></div>	lìzi<div>- an example or instance</div>	Encountered
<div><div><div><div><div>感谢舍友的不杀之恩</div></div></div></div></div>	gǎnxiè shèyǒu de bùshā'zhī'ēn<div>- colloquial way of saying thank you to roommates for not murdering you because of their kindness (i.e., thank you for putting up with me as a roommate)</div>	Encountered
感谢	gǎnxiè<div>thanks, express thanks, grateful, gratitude</div>	Encountered
舍友	shèyǒu<div>dormitory roommate</div>	Encountered
杀	shā<div>- to kill, murder, attack, weaken</div><div>- (used after verb) extremely</div>	Encountered
恩	ēn<div>favor, grace, kindness</div>	Encountered
澡堂	zǎotáng<div>public baths</div>	Encountered
公共澡堂	gōnggòngzǎotáng<div>common baths (e.g., in a dorm)</div>	Encountered
排队	páiduì<div>to line up</div>	Encountered
上吊	shàngdiào<div>to hang oneself</div>	Encountered
师范	shīfàn<div>teacher-training, pedagological, normal (for school, like Beijing Normal University)</div>	Encountered
常春藤	chángchūnténg<div>ivy (used for the plant and for the Ivy League)</div>	Encountered
表兄弟	biǎoxiōngdì<div>maternal male cousins</div>	Encountered
<div>表亲</div>	biǎoqīn<div>maternal cousin</div>	Encountered
舅舅	jiùjiu<div>maternal uncle，मामा</div>	Encountered
<div><div><div><div><div>舅妈</div></div></div></div></div>	jiùmā<div>maternal uncle's wife, मामी</div>	Encountered
<div><div><div><div><div>大爷</div></div></div></div></div>	dàye<div>father's older brother (ताउजी), uncle, respectful word for older man (tricky to use because of second definition)</div><div><br></div><div>dàyé</div><div>arrogant idler, self-centered show-off; used in insulting manner as in 你dàyé的</div>	Encountered
<div><div><div><div><div>相声</div></div></div></div></div>	xiàngsheng<div>comic dialogue, sketch, crosstalk</div>	Encountered
说唱	shuōchàng<div>- (musical) rapping</div>	Encountered
天津	Tiānjīn<div>- a municipality in northern China</div>	Encountered
路痴	lùchī<div>person with poor sense of direction</div><div>* mdbg.net</div>	Encountered
熔炉	rónglú<div>smelting furnace, forge</div>	Encountered
题材	tícái<div>- subject matter, topic</div>	Encountered
寄生虫	jìshēngchóng<div>- parasite (biology)</div><div>- freeloader</div>	Encountered
兽	shòu<div>- bestial, beastly</div><div>- animal, beast</div>	Encountered
寄生	jìshēng<div>- parasitic, parasitism, to live in/on another as parasite or by taking advantage of others</div><div><br></div><div>* mdbg.net</div>	Encountered
<div><div><div><div><div>卷福</div></div></div></div></div>	juǎnfú<div>Benedict Cumberbatch (name is related to his curly hair)</div>	Encountered
卷	juǎn<div>- (measure word for small rolled things like money or film)</div><div>- to roll up, to sweep up, to carry</div><div><br></div><div>juàn</div><div>- scroll, book, volume, chapter, exam paper</div><div>- (measure word for books, paintings)</div><div><br></div><div>*mdbg.net</div>	Encountered
福	fú<div>- good fortune, happiness, or luck</div><div>- abbreüiation for Fujian</div><div>- a surname</div><div><br></div><div>*mdbg.net</div>	Encountered
自然卷	zìránjuǎn<div>naturally curly hair</div>	Encountered
超	chāo<div>- to exceed, overtake, surpass, pass, cross, or transcend</div><div>- (prefix) ultra-, super-</div><div><br></div><div>*mdbg.net</div>	B2-L20-At-The-Airport Encountered
病人	bìngrén<div>patient (i.e., doctor's patient)</div>	B2-L15-Seeing-A-Doctor
病	bìng<div>- illness</div><div>- to get sick</div>	B2-L15-Seeing-A-Doctor
医院	yīyuàn<div>hospital</div>	B2-L15-Seeing-A-Doctor
看病	kànbìng<div>to see a doctor</div>	B2-L15-Seeing-A-Doctor
肚子	dùzi<div>belly, abdomen, stomach</div>	B2-L15-Seeing-A-Doctor
疼死	téngsǐ<div>really painful</div>	B2-L15-Seeing-A-Doctor
疼	téng<div>aching</div>	B2-L15-Seeing-A-Doctor
死	sǐ<div>- to die</div><div>- (complementary word indicating extreme degree)</div>	B2-L15-Seeing-A-Doctor
夜里	yèli<div>at night</div>	B2-L15-Seeing-A-Doctor
好几	hǎojǐ<div>quite a few</div>	B2-L15-Seeing-A-Doctor
厕所	cèsuǒ<div>restroom, toilet</div>	B2-L15-Seeing-A-Doctor
冰箱	bīngxiāng<div>refrigerator</div>	B2-L15-Seeing-A-Doctor
发烧	fāshāo<div>to have a fever</div>	B2-L15-Seeing-A-Doctor
躺下	tǎngxia<div>to lie down</div>	B2-L15-Seeing-A-Doctor
躺	tǎng<div>to lie or recline</div>	B2-L15-Seeing-A-Doctor
检查	jiǎnchá<div>to examine</div>	B2-L15-Seeing-A-Doctor
吃坏	chīhuài<div>to get sick from eating bad food</div>	B2-L15-Seeing-A-Doctor
坏	huài<div>bad (adjectiüe)</div>	B2-L15-Seeing-A-Doctor
打针	dǎzhēn<div>to get an injection</div>	B2-L15-Seeing-A-Doctor
针	zhēn<div>needle (noun)</div>	B2-L15-Seeing-A-Doctor
药	yào<div>medicine</div>	B2-L15-Seeing-A-Doctor
片	piàn<div>(measure word for tablets, slices, etc.)</div>	B2-L15-Seeing-A-Doctor
遍	biàn<div>(measure word for complete courses of an action or instances of an action, like a course of medicine)</div>	B2-L15-Seeing-A-Doctor
最好	zuìhǎo<div>had better</div>	B2-L15-Seeing-A-Doctor
小时	xiǎoshí<div>hour</div>	B2-L15-Seeing-A-Doctor
办法	bànfǎ<div>method, way (of doing something)</div>	B2-L15-Seeing-A-Doctor
生病	shēngbìng<div>to get sick</div>	B2-L15-Seeing-A-Doctor
感冒	gǎnmào<div>to haüe a cold</div>	B2-L15-Seeing-A-Doctor
身体	shēntǐ<div>body, health</div>	B2-L15-Seeing-A-Doctor
痒	yǎng<div>itchy</div>	B2-L15-Seeing-A-Doctor
过敏	guòmǐn<div>to be allergic to</div>	B2-L15-Seeing-A-Doctor
药店	yàodiàn<div>pharmacy</div>	B2-L15-Seeing-A-Doctor
健康	jiànkāng<div>- healthy</div><div>- health</div>	B2-L15-Seeing-A-Doctor
保险	bǎoxiǎn<div>- insurance [noun]</div><div>- secure [adjective]</div>	B2-L15-Seeing-A-Doctor
赶快	gǎnkuài<div>- right away, quickly, in a hurry</div>	B2-L15-Seeing-A-Doctor
要不然	yàobùrán<div>otherwise</div>	B2-L15-Seeing-A-Doctor
越来越	yuèláiyuè<div>more and more</div>	B2-L15-Seeing-A-Doctor
上次	shàngcì<div>last time</div>	B2-L15-Seeing-A-Doctor
休息	xiūxi<div>to take a break, to rest</div>	B2-L15-Seeing-A-Doctor
懒	lǎn<div>lazy</div>	B2-L15-Seeing-A-Doctor
再说	zàishuō<div>moreover</div>	B2-L15-Seeing-A-Doctor
乱	luàn<div>randomly, arbitrarily, messily</div>	B2-L15-Seeing-A-Doctor
折扣	zhékòu<div>discount</div>	B2-L15-Seeing-A-Doctor
单身狗	"dānshēngǒu<div>single person (Internet slang, literally ""single dog"")</div>"	B2-L15-Seeing-A-Doctor
单身	dānshēn<div>unmarried/single</div>	B2-L15-Seeing-A-Doctor
花粉	huāfěn<div>pollen (e.g., plant pollen)</div>	B2-L15-Seeing-A-Doctor
咳嗽	késou<div>to cough</div>	B2-L15-Seeing-A-Doctor
流鼻涕	liúbítì<div>to have a runny nose</div>	B2-L15-Seeing-A-Doctor
打喷嚏	dǎ pēntì<div>to sneeze</div>	B2-L15-Seeing-A-Doctor
巧克力	qiǎokèlì<div>chocolate</div>	B2-L15-Seeing-A-Doctor
宝宝	bǎobao<div>baby</div>	B2-L15-Seeing-A-Doctor
拉肚子	lādùzi<div>to have diarrhea (colloquial)</div>	B2-L15-Seeing-A-Doctor
兴趣	xìngqù<div>- interest (desire to know about something, thing which one is interested in)</div><div>- hobby</div>	B2-L15-Seeing-A-Doctor B2-L17-Renting-An-Apartment
流感季	liúgǎnjì<div>flu season</div>	B2-L15-Seeing-A-Doctor
音量	yīnliàng<div>sound volume</div>	B2-L15-Seeing-A-Doctor
热闹	rènao<div>bustling with noise and excitement, lively</div><div><br></div><div>*mdbg.net</div>	B2-L15-Seeing-A-Doctor
马上	mǎshàng<div>- right away, immediately (赶快）</div><div>- on a horse</div>	B2-L15-Seeing-A-Doctor B2-L19-Travel
味道	wèidao<div>taste (as a noun, as 我喜欢这种的wèidao)</div>	B2-L15-Seeing-A-Doctor
吃起来	chīqǐlái<div>to taste or start eating (verb)</div>	B2-L15-Seeing-A-Doctor
书包	shūbāo<div>bag (noun - e.g., my bag of things)</div>	B2-L15-Seeing-A-Doctor
钱包	qiánbāo<div>wallet （noun)</div>	B2-L15-Seeing-A-Doctor
用坏	yònghuài<div>to break/wear out while using (e.g., 把手机yònghuài了）</div>	B2-L15-Seeing-A-Doctor
院	yuàn<div>courtyard, institution</div><div><br></div><div>*mdbg.net</div>	B2-L15-Seeing-A-Doctor
减肥	jiǎnféi<div>to lose weight</div>	B2-L18-Sports
下载	xiàzǎi<div>download (e.g., from Internet)</div>	B2-L18-Sports
星星	xīngxīng<div>star(s) [the ones in the sky]</div>	B2-L18-Sports
空着手	kōngzheshǒu<div>empty-handed</div>	B2-L18-Sports
压坏	yāhuài<div>to crush</div>	B2-L18-Sports
压	yā<div>- to press, to push down, to keep under control</div><div>- pressure</div>	B2-L18-Sports
压死	yāsǐ<div>to crush to death</div>	B2-L18-Sports
弄脏	nòngzāng<div>to make dirty, to smear, to defile</div><div>*mdbg.net</div>	B2-L18-Sports
弄乱	nòngluàn<div>to mess up, to put into disorder, to meddle with, to confuse</div><div>* mdbg.net</div>	B2-L18-Sports
同	tóng<div>same (adj)</div>	B2-L16-Dating
印象	yìnxiàng<div>impression (i.e., make a good or bad impression)</div>	B2-L16-Dating
成	chéng<div>to become</div><div><br></div><div>他们chéng了好朋友</div>	B2-L16-Dating
演	yǎn<div>to show (a film), to perform</div><div><br></div><div>这个周末学校 yǎn 一个电影</div>	B2-L16-Dating
费	fèi<div>- to spend or to take [effort] (verb)</div><div>- fee, expenses (noun)</div><div><br></div><div>我 fèi 了很大的力气才买到</div>	B2-L16-Dating
力气	lìqi<div>strength, effort (noun)</div><div><br></div><div>我费了很大的 lìqi 才买到</div>	B2-L16-Dating
俩	"liǎ<div>colloq. way of saying ""two"" objects (liǎngge)</div>"	B2-L16-Dating
后天	hòutiān<div>the day after tomorrow; परसुं; परसों</div>	B2-L16-Dating
一言为定	yìyánwéidìng<div>that settles it; that's settled; it's decided</div>	B2-L16-Dating
记得	jìde<div>to remember</div>	B2-L16-Dating
记	jì<div>to record</div>	B2-L16-Dating
想起来	xiǎng qi lai<div>to remember; to recall</div>	B2-L16-Dating
号码	hàomǎ<div>number (noun)</div><div><br></div><div>e.g., 电hàomǎ = phone number</div>	B2-L16-Dating
搬	bān<div>to move (e.g., to move homes)</div><div><br></div><div>- 我要宿舍 bān 出去</div><div>- 我 bān 家</div>	B2-L16-Dating
打扫	dǎsǎo<div>to clean up (a room, apartment, house)</div>	B2-L16-Dating
扫	sǎo<div>to sweep</div>	B2-L16-Dating
整理	zhěnglǐ<div>to put in order</div><div><br></div><div>e.g., zhěnglǐ 房间</div>	B2-L16-Dating
房间	fángjiān<div>a room (e.g., dorm room, room in house)</div>	B2-L16-Dating
旅行	lǚxíng<div>to travel</div>	B2-L16-Dating
吵	chǎo<div>- to quarrel</div><div>- noisy</div>	B2-L17-Renting-An-Apartment
连。。。都/也。。。	lián...dōu/yě...<div>- even (preposition)</div><div>Used as an intensifier</div><div><br></div><div>- 那个孩子很聪明，lián韩语都会说。</div><div>- 我的房间里 lián 一件家具也没有。</div>	B2-L17-Renting-An-Apartment
